What is a floating-rate note (FRN)?,A bond whose coupon resets periodically based on a market reference rate (MRR) plus a fixed quoted margin.  [oai_citation:0‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the coupon formula for an FRN?,Coupon rate = market reference rate + quoted margin.  [oai_citation:1‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the market reference rate (MRR)?,A benchmark short-term rate used to set FRN coupons, such as LIBOR or Euribor.  [oai_citation:2‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the quoted margin (QM)?,The fixed spread added to the reference rate to determine the FRN’s coupon.  [oai_citation:3‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why are FRNs usually issued at par?,Because at issuance the quoted margin equals the required margin, so price equals par.  [oai_citation:4‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What happens to an FRN’s price if credit risk increases?,Required margin rises above quoted margin, making the coupon too low → FRN trades at a discount.  [oai_citation:5‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What happens when required margin is lower than the quoted margin?,The FRN's coupon is generous, so it trades at a premium.  [oai_citation:6‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the discount margin (DM)?,The margin investors currently require over the reference rate to price the FRN.  [oai_citation:7‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
At issuance, how are QM and DM related?,Quoted margin equals discount margin, so the FRN is priced at par.  [oai_citation:8‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
If DM > QM, where does the FRN trade?,Below par (at a discount).  [oai_citation:9‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
If DM < QM, where does the FRN trade?,Above par (at a premium).  [oai_citation:10‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What determines an FRN’s price after issuance?,How the required margin (DM) changes relative to the fixed quoted margin (QM).  [oai_citation:11‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why do FRNs have low interest rate risk?,Because the coupon frequently adjusts to market rates, keeping price close to par.  [oai_citation:12‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
